0;0
1;0
2;0
3;1
4;0
5;1
6;0
7;2
8;0
9;0
10;0
11;1
12;0
13;0
14;0
15;0
16;1
17;2
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;1
28;1
29;0
30;0
31;0
32;0
33;1
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;2
42;0
43;0
44;0
45;0
46;0
47;2
48;0
49;0
50;0
51;0
52;0
53;2
54;0
55;2
56;2
57;0
58;1
59;0
60;0
61;0
62;0
63;1
64;0
65;0
66;0
67;2
68;0
69;0
70;0
71;0
72;0
73;0
74;1
75;0
76;2
77;0
78;0
79;2
80;0
81;0
82;1
83;2
84;0
85;0
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;2
97;0
98;0
99;0
100;1
101;0
102;1
103;0
104;1
105;0
106;0
107;0
108;2
109;0
110;0
111;0
112;0
113;0
114;2
115;0
116;0
117;1
118;0
119;2
120;0
121;0
122;1
123;2
124;0
125;0
126;2
127;0
128;0
129;0
130;0
131;0
132;0
133;1
134;0
135;1
136;1
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;2
145;1
146;0
147;1
148;0
149;0
150;0
151;0
152;0
153;0
154;0
155;0
156;0
157;0
158;2
159;0
160;1
161;0
162;0
163;0
164;0
165;0
166;0
167;1
168;0
169;0
170;1
171;0
172;0
173;0
174;0
175;0
176;0
177;2
178;0
179;0
180;0
181;0
182;0
183;0
184;2
185;0
186;2
187;0
188;0
189;2
190;0
191;0
192;0
193;0
194;0
195;1
196;0
197;0
198;0
199;0
200;0
201;2
202;1
203;1
204;0
205;1
206;2
207;0
208;0
209;0
210;1
211;0
212;0
213;0
214;0
215;0
216;1
217;0
218;0
219;0
220;1
221;0
222;2
223;0
224;0
225;0
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;1
241;1
242;0
243;0
244;0
245;1
246;0
247;1
248;0
249;0
250;1
251;0
252;1
253;0
254;0
255;0
256;0
257;0
258;1
259;2
260;0
261;0
262;1
263;0
264;0
265;1
266;0
267;0
268;1
269;1
270;0
271;0
272;0
273;1
274;0
275;0
276;0
277;0
278;0
279;0
280;0
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;2
293;0
294;0
295;1
296;0
297;0
298;1
299;0
300;2
301;0
302;0
303;0
304;1
305;2
306;1
307;0
308;2
309;2
310;0
311;0
312;0
313;0
314;0
315;1
316;2
317;0
318;0
319;0
320;0
321;2
322;2
323;2
324;1
325;0
326;2
327;1
328;0
329;1
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;1
339;0
340;1
341;1
342;0
343;0
344;0
345;0
346;1
347;0
348;0
349;0
350;0
351;0
352;0
353;0
354;0
355;2
356;2
357;0
358;0
359;1
360;1
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;2
369;0
370;2
371;0
372;1
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;2
381;2
382;1
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;2
391;2
392;0
393;0
394;1
395;0
396;1
397;0
398;0
399;0
400;0
401;0
402;0
403;1
404;0
405;0
406;0
407;0
408;0
409;1
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;1
425;0
426;0
427;0
428;0
429;0
430;2
431;0
432;0
433;1
434;0
435;2
436;2
437;0
438;2
439;1
440;0
441;2
442;1
443;0
444;0
445;2
446;0
447;0
448;0
449;0
450;0
451;0
452;2
453;0
454;2
455;0
456;2
457;0
458;1
459;1
460;0
461;1
462;0
463;1
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;1
473;2
474;0
475;0
476;2
477;0
478;0
479;2
480;0
481;0
482;0
483;2
484;0
485;2
486;1
487;0
488;0
489;0
490;2
491;0
492;1
493;0
494;0
495;0
496;2
497;0
498;0
499;0
500;0
501;2
502;1
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;2
512;2
513;0
514;0
515;2
516;0
517;0
518;0
519;0
520;0
521;1
522;0
523;0
524;0
525;0
526;0
527;1
528;0
529;2
530;0
531;0
532;2
533;2
